"Lp","Id","Nazwa instytucji","Data utworzenia / data wpisu do ewiencji uczelni niepublicznych","Organ nadzorujący","Rodzaj instytucji","Państwowy Instytut Badawczy","Rok od kiedy Państwowy Instytut Badawczy","Data postawienia w stan likwidacji","Data likwidacji","Typ uczelni","Typ instytucji naukowej","REGON","NIP","KRS","Numer uczelni nadany przez ministra","Numer wpisu do ewidencji uczelni niepublicznych","Numer rejestru instytutów PAN","Strona www","Adres e-mail","Telefon","Adres skrzynki podawczej","Kraj","Województwo","Adres - ulica","Adres - numer","Adres - kod pocztowy","Adres - miasto","Dane osoby kierującej podmiotem","Identyfikator osoby kierującej podmiotem","Skład federacji - Nazwa instytucji","Skład federacji - Identyfikator instytucji","Skład federacji - W federacji od","Skład federacji - W federacji do","Nazwy - Nazwa","Nazwy - Data nadania nazwy","Instytucje poprzedzające - Nazwa instytucji","Instytucje poprzedzające - ID instytucji","Instytucje poprzedzające - REGON","Instytucje poprzedzające - NIP","Instytucje poprzedzające - KRS","Instytucje poprzedzające - Numer w rejestrze PAN","Instytucje poprzedzające - Numer w ewidencji uczelni niepublicznych","Instytucje poprzedzające - Organ nadzorujący","Instytucje poprzedzające - Rodzaj przekształcenia","Instytucje poprzedzające - Data przekształcenia","Instytucje dziedziczące - Nazwa instytucji","Instytucje dziedziczące - ID instytucji","Instytucje dziedziczące - REGON","Instytucje dziedziczące - NIP","Instytucje dziedziczące - KRS","Instytucje dziedziczące - Numer w rejestrze PAN","Instytucje dziedziczące - Numer w ewidencji uczelni niepublicznych","Instytucje dziedziczące - Organ nadzorujący","Instytucje dziedziczące - Rodzaj przekształcenia","Instytucje dziedziczące - Data przekształcenia","Historia zmian organu - Organ nadzorujący","Historia zmian organu - Data przypisania do organu","Historia zmian statusu - Status","Historia zmian statusu - Data nadania statusu","Historia zmian typu - Typ","Historia zmian typu - Data nadania typu","Historia zmian adresu - Adres","Historia zmian adresu - Data otrzymania adresu"
"710","609ca787-c203-4532-8f30-362d2c41ecd9","Małopolska Wyższa Szkoła im. Józefa Dietla w Krakowie w likwidacji","2003-06-04","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","2020-12-09","","zawodowa","","356720247","9451986551","","221","269","","http://www.dietl.edu.pl","rektorat@dietl.edu.pl","888-019-624","","Polska","małopolskie","ul. Legnicka","5","31-216","Kraków","","",,,,,"Małopolska Wyższa Szkoła im. Józefa Dietla w Krakowie z siedzibą w Krakowie","2003-06-04",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2003-06-04","W likwidacji","2020-12-09","zawodowa","2003-06-04","ul. Kazimierza Odnowiciela 2, 31-481 Kraków, woj. małopolskie, Polska","2003-06-04"
"711","609ca787-c203-4532-8f30-362d2c41ecd9","Małopolska Wyższa Szkoła im. Józefa Dietla w Krakowie w likwidacji","2003-06-04","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","2020-12-09","","zawodowa","","356720247","9451986551","","221","269","","http://www.dietl.edu.pl","rektorat@dietl.edu.pl","888-019-624","","Polska","małopolskie","ul. Legnicka","5","31-216","Kraków","","",,,,,"Małopolska Wyższa Szkoła im. Józefa Dietla w Krakowie z siedzibą w Krakowie","2003-06-04",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2003-06-04","W likwidacji","2020-12-09","zawodowa","2003-06-04","ul. Legnicka 5, 31-216 Kraków, woj. małopolskie, Polska","2020-09-29"
"712","609ca787-c203-4532-8f30-362d2c41ecd9","Małopolska Wyższa Szkoła im. Józefa Dietla w Krakowie w likwidacji","2003-06-04","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","2020-12-09","","zawodowa","","356720247","9451986551","","221","269","","http://www.dietl.edu.pl","rektorat@dietl.edu.pl","888-019-624","","Polska","małopolskie","ul. Legnicka","5","31-216","Kraków","","",,,,,"Małopolska Wyższa Szkoła im. Józefa Dietla w Krakowie","2014-01-20",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2003-06-04","Działająca","2003-06-04","zawodowa","2003-06-04","ul. Kazimierza Odnowiciela 2, 31-481 Kraków, woj. małopolskie, Polska","2003-06-04"
"713","609ca787-c203-4532-8f30-362d2c41ecd9","Małopolska Wyższa Szkoła im. Józefa Dietla w Krakowie w likwidacji","2003-06-04","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","2020-12-09","","zawodowa","","356720247","9451986551","","221","269","","http://www.dietl.edu.pl","rektorat@dietl.edu.pl","888-019-624","","Polska","małopolskie","ul. Legnicka","5","31-216","Kraków","","",,,,,"Małopolska Wyższa Szkoła im. Józefa Dietla w Krakowie","2014-01-20",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2003-06-04","Działająca","2003-06-04","zawodowa","2003-06-04","ul. Legnicka 5, 31-216 Kraków, woj. małopolskie, Polska","2020-09-29"
"714","609ca787-c203-4532-8f30-362d2c41ecd9","Małopolska Wyższa Szkoła im. Józefa Dietla w Krakowie w likwidacji","2003-06-04","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","2020-12-09","","zawodowa","","356720247","9451986551","","221","269","","http://www.dietl.edu.pl","rektorat@dietl.edu.pl","888-019-624","","Polska","małopolskie","ul. Legnicka","5","31-216","Kraków","","",,,,,"Małopolska Wyższa Szkoła im. Józefa Dietla w Krakowie","2014-01-20",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2003-06-04","W likwidacji","2020-12-09","zawodowa","2003-06-04","ul. Kazimierza Odnowiciela 2, 31-481 Kraków, woj. małopolskie, Polska","2003-06-04"
"715","609ca787-c203-4532-8f30-362d2c41ecd9","Małopolska Wyższa Szkoła im. Józefa Dietla w Krakowie w likwidacji","2003-06-04","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","2020-12-09","","zawodowa","","356720247","9451986551","","221","269","","http://www.dietl.edu.pl","rektorat@dietl.edu.pl","888-019-624","","Polska","małopolskie","ul. Legnicka","5","31-216","Kraków","","",,,,,"Małopolska Wyższa Szkoła im. Józefa Dietla w Krakowie","2014-01-20",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2003-06-04","W likwidacji","2020-12-09","zawodowa","2003-06-04","ul. Legnicka 5, 31-216 Kraków, woj. małopolskie, Polska","2020-09-29"
"716","2f997b16-deae-42ea-a71b-a2598eee1413","Mazowiecka Wyższa Szkoła Humanistyczno-Pedagogiczna w Łowiczu","1993-09-24","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","2015-10-01","zawodowa","","750413081","8340008594","","000","27","","http://www.mwshp.lowicz.pl","sektetariat.mwshp@gmail.com","46/837-43-78","","Polska","łódzkie","ul. Akademicka","1/3","99-400","Łowicz","","",,,,,"Mazowiecka Wyższa Szkoła Humanistyczno-Pedagogiczna w Łowiczu","1993-09-24",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1993-09-24","Działająca","1993-09-24","zawodowa","1993-09-24","ul. Akademicka 1/3, 99-400 Łowicz, woj. łódzkie, Polska","1993-09-24"
"717","2f997b16-deae-42ea-a71b-a2598eee1413","Mazowiecka Wyższa Szkoła Humanistyczno-Pedagogiczna w Łowiczu","1993-09-24","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","2015-10-01","zawodowa","","750413081","8340008594","","000","27","","http://www.mwshp.lowicz.pl","sektetariat.mwshp@gmail.com","46/837-43-78","","Polska","łódzkie","ul. Akademicka","1/3","99-400","Łowicz","","",,,,,"Mazowiecka Wyższa Szkoła Humanistyczno-Pedagogiczna w Łowiczu","1993-09-24",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1993-09-24","Zlikwidowana","2015-10-01","zawodowa","1993-09-24","ul. Akademicka 1/3, 99-400 Łowicz, woj. łódzkie, Polska","1993-09-24"
"718","33f9aec0-b371-4018-b797-3c41ca0d7d1e","Mazurska Szkoła Wyższa w Ełku z siedzibą w Ełku","2004-05-21","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","2013-08-23","zawodowa","","171006429","7431846283","","000","295","","http://www.msw.edu.pl","","","","Polska","warmińsko-mazurskie","ul. Jana i Hieronima Małeckich","2","19-300","Ełk","","",,,,,"Mazurska Szkoła Wyższa w Ełku z siedzibą w Ełku","2004-05-21",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2004-05-21","Działająca","2004-05-21","zawodowa","2004-05-21","ul. Jana i Hieronima Małeckich 2, 19-300 Ełk, woj. warmińsko-mazurskie, Polska","2004-05-21"
"719","33f9aec0-b371-4018-b797-3c41ca0d7d1e","Mazurska Szkoła Wyższa w Ełku z siedzibą w Ełku","2004-05-21","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","2013-08-23","zawodowa","","171006429","7431846283","","000","295","","http://www.msw.edu.pl","","","","Polska","warmińsko-mazurskie","ul. Jana i Hieronima Małeckich","2","19-300","Ełk","","",,,,,"Mazurska Szkoła Wyższa w Ełku z siedzibą w Ełku","2004-05-21",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2004-05-21","Zlikwidowana","2013-08-23","zawodowa","2004-05-21","ul. Jana i Hieronima Małeckich 2, 19-300 Ełk, woj. warmińsko-mazurskie, Polska","2004-05-21"
"720","d8ce144a-93fb-4475-95d8-94e322e3a8fb","Menedżerska Akademia Nauk Stosowanych w Warszawie","1995-07-04","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","zawodowa","","011146123","1130121889","","021","60","","https://www.mans.org.pl","rektorat@mans.org.pl","(22) 5900710","/WSMWarszawa/SkrytkaESP","Polska","mazowieckie","ul. Kawęczyńska","36","03-772","Warszawa","Zbigniew Ciekanowski - Rektor","335afdf5-309c-42ad-8b9f-4986afd4ab87",,,,,"Menedżerska Akademia Nauk Stosowanych w Warszawie","2022-10-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1995-07-04","Działająca","1995-07-04","zawodowa","1995-07-04","ul. Kawęczyńska 36, 03-772 Warszawa, woj. mazowieckie, Polska","1995-07-04"
"721","d8ce144a-93fb-4475-95d8-94e322e3a8fb","Menedżerska Akademia Nauk Stosowanych w Warszawie","1995-07-04","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","zawodowa","","011146123","1130121889","","021","60","","https://www.mans.org.pl","rektorat@mans.org.pl","(22) 5900710","/WSMWarszawa/SkrytkaESP","Polska","mazowieckie","ul. Kawęczyńska","36","03-772","Warszawa","Zbigniew Ciekanowski - Rektor","335afdf5-309c-42ad-8b9f-4986afd4ab87",,,,,"Wyższa Szkoła Menedżerska w Warszawie","1995-07-04",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1995-07-04","Działająca","1995-07-04","zawodowa","1995-07-04","ul. Kawęczyńska 36, 03-772 Warszawa, woj. mazowieckie, Polska","1995-07-04"
"722","8c7212d0-2c9e-4105-8dd7-c9a54c862bc2","Międzynarodowa Akademia Nauk Stosowanych w Łomży","1996-07-24","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","zawodowa","","450153672","7181415167","","016","96","","http://www.mans.edu.pl","rektorat@mans.edu.pl","862169497","","Polska","podlaskie","ul. Studencka","19","18-400","Łomża","","",,,,,"Międzynarodowa Akademia Nauk Stosowanych w Łomży","2022-10-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1996-07-24","Działająca","1996-07-24","zawodowa","1996-07-24","ul. Studencka 19, 18-400 Łomża, woj. podlaskie, Polska","1996-07-24"
"723","8c7212d0-2c9e-4105-8dd7-c9a54c862bc2","Międzynarodowa Akademia Nauk Stosowanych w Łomży","1996-07-24","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","zawodowa","","450153672","7181415167","","016","96","","http://www.mans.edu.pl","rektorat@mans.edu.pl","862169497","","Polska","podlaskie","ul. Studencka","19","18-400","Łomża","","",,,,,"Wyższa Szkoła Agrobiznesu w Łomży","1996-07-24",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1996-07-24","Działająca","1996-07-24","zawodowa","1996-07-24","ul. Studencka 19, 18-400 Łomża, woj. podlaskie, Polska","1996-07-24"
"724","ac1a285e-2305-491a-9042-15f2e746c81d","Międzynarodowa Szkoła Wyższa ""Concordia"" w Lubartowie","1993-06-08","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","1993-12-15","zawodowa","","","","","000","19","","","","","","Polska","lubelskie","ul. Bolesława Mucharskiego","10","21-100","Lubartów","","",,,,,"Międzynarodowa Szkoła Wyższa ""Concordia"" w Lubartowie","1993-06-08",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1993-06-08","Działająca","1993-06-08","zawodowa","1993-06-08","ul. Bolesława Mucharskiego 10, 21-100 Lubartów, woj. lubelskie, Polska","1993-06-08"
"725","ac1a285e-2305-491a-9042-15f2e746c81d","Międzynarodowa Szkoła Wyższa ""Concordia"" w Lubartowie","1993-06-08","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","1993-12-15","zawodowa","","","","","000","19","","","","","","Polska","lubelskie","ul. Bolesława Mucharskiego","10","21-100","Lubartów","","",,,,,"Międzynarodowa Szkoła Wyższa ""Concordia"" w Lubartowie","1993-06-08",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","1993-06-08","Zlikwidowana","1993-12-15","zawodowa","1993-06-08","ul. Bolesława Mucharskiego 10, 21-100 Lubartów, woj. lubelskie, Polska","1993-06-08"
"726","4afc0cae-5fd7-491c-a6e5-5e0874dea809","Międzynarodowa Wyższa Szkoła Logistyki i Transportu we Wrocławiu","2001-06-13","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","932668452","8951749782","","057","206","","https://www.mwsl.eu","uczelnia@msl.com.pl","71 324-68-42","MWSL","Polska","dolnośląskie","ul. Sołtysowicka","19b","51-168","Wrocław","Marcin Pawęska - Rektor","5f122723-75a4-4c0f-901e-06bf7a110b08",,,,,"Międzynarodowa Wyższa Szkoła Logistyki i Transportu we Wrocławiu","2001-06-13",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2001-06-13","Działająca","2001-06-13","zawodowa","2001-06-13","ul. Sołtysowicka 19b, 51-168 Wrocław, woj. dolnośląskie, Polska","2001-06-13"
"727","4afc0cae-5fd7-491c-a6e5-5e0874dea809","Międzynarodowa Wyższa Szkoła Logistyki i Transportu we Wrocławiu","2001-06-13","Minister Edukacji i Nauki (poprzednio MNiSW)","Uczelnia niepubliczna","Nie","","","","akademicka","","932668452","8951749782","","057","206","","https://www.mwsl.eu","uczelnia@msl.com.pl","71 324-68-42","MWSL","Polska","dolnośląskie","ul. Sołtysowicka","19b","51-168","Wrocław","Marcin Pawęska - Rektor","5f122723-75a4-4c0f-901e-06bf7a110b08",,,,,"Międzynarodowa Wyższa Szkoła Logistyki i Transportu we Wrocławiu","2001-06-13",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2001-06-13","Działająca","2001-06-13","akademicka","2023-03-21","ul. Sołtysowicka 19b, 51-168 Wrocław, woj. dolnośląskie, Polska","2001-06-13"
"728","4bedd38b-ba78-4856-b288-7c95eebc1d9e","Międzynarodowe Laboratorium Silnych Pól Magnetycznych i Niskich Temperatur","1968-05-11","Polska Akademia Nauk","Instytucja naukowa","Nie","","","2017-10-01","","międzynarodowy instytut naukowy","000514093","8961000749","","","","","http://www.ml.pan.wroc.pl","agnieszka.domaradzka@ml.pan.wroc.pl","713907114","","Polska","dolnośląskie","Gajowicka","95","53-421","Wrocław","","",,,,,"Międzynarodowe Laboratorium Silnych Pól Magnetycznych i Niskich Temperatur","1968-05-11",,,,,,,,,,,"Instytut Niskich Temperatur i Badań Strukturalnych im. Włodzimierza Trzebiatowskiego Polskiej Akademii Nauk","0f0762c0-9894-4415-abdf-24cbd96b7045","000326109","8960007258","","","","Polska Akademia Nauk","Włączenie","2017-10-01","Polska Akademia Nauk","1968-05-11","Działająca","1968-05-11","międzynarodowy instytut naukowy","1968-05-11","ul. Gajowicka 95, 53-421 Wrocław, woj. dolnośląskie, Polska","1968-05-11"
"729","4bedd38b-ba78-4856-b288-7c95eebc1d9e","Międzynarodowe Laboratorium Silnych Pól Magnetycznych i Niskich Temperatur","1968-05-11","Polska Akademia Nauk","Instytucja naukowa","Nie","","","2017-10-01","","międzynarodowy instytut naukowy","000514093","8961000749","","","","","http://www.ml.pan.wroc.pl","agnieszka.domaradzka@ml.pan.wroc.pl","713907114","","Polska","dolnośląskie","Gajowicka","95","53-421","Wrocław","","",,,,,"Międzynarodowe Laboratorium Silnych Pól Magnetycznych i Niskich Temperatur","1968-05-11",,,,,,,,,,,"Instytut Niskich Temperatur i Badań Strukturalnych im. Włodzimierza Trzebiatowskiego Polskiej Akademii Nauk","0f0762c0-9894-4415-abdf-24cbd96b7045","000326109","8960007258","","","","Polska Akademia Nauk","Włączenie","2017-10-01","Polska Akademia Nauk","1968-05-11","Przekształcona","2017-10-01","międzynarodowy instytut naukowy","1968-05-11","ul. Gajowicka 95, 53-421 Wrocław, woj. dolnośląskie, Polska","1968-05-11"
"730","e16daa5b-e06b-4c65-8f73-a281aafeddfd","Międzynarodowy Instytut Biologii Molekularnej i Komórkowej w Warszawie","1999-01-01","Polska Akademia Nauk","Instytucja naukowa","Nie","","","","","międzynarodowy instytut naukowy","013082798","5262278704","","","","","http://www.iimcb.gov.pl","secretariat@iimcb.gov.pl","(22) 59 70 700","/iimcb/skrytka","Polska","mazowieckie","Księcia Trojdena","4","02-109","Warszawa","Marta Elżbieta prof. dr hab. Miączyńska - Dyrektor instytutu międzynarodowego","10f167a8-b05b-4d20-bb24-55a199b644b2",,,,,"Międzynarodowy Instytut Biologii Molekularnej i Komórkowej w Warszawie","1999-01-01",,,,,,,,,,,,,,,,,,,,,"Polska Akademia Nauk","1999-01-01","Działająca","1999-01-01","międzynarodowy instytut naukowy","1999-01-01","ul. Księcia Trojdena 4, 02-109 Warszawa, woj. mazowieckie, Polska","1999-01-01"
"731","0f0a528c-efac-485d-b3ee-1a3f2b640f2e","Międzynarodowy Instytut Mechanizmów i Maszyn Molekularnych Polskiej Akademii Nauk - IMol","2020-11-17","Polska Akademia Nauk","Instytucja naukowa","Nie","","","","","instytut naukowy PAN","387899800","7011013688","","","","71","www.imol.institute","grantoffice@imol.institute","+48 607 435 448","/IMol/imolpan","Polska","mazowieckie","ul. Marcina Flisa","6","02-247","Warszawa","Agnieszka Chacińska - Dyrektor instytutu PAN","24e5adc5-4033-4e99-a463-71a81c576ac2",,,,,"Międzynarodowy Instytut Mechanizmów i Maszyn Molekularnych Polskiej Akademii Nauk - IMol","2020-11-17",,,,,,,,,,,,,,,,,,,,,"Polska Akademia Nauk","2020-11-17","Działająca","2020-11-17","instytut naukowy PAN","2020-11-17","ul. Bedřicha Smetany 2, 00-783 Warszawa, woj. mazowieckie, Polska","2020-11-17"
"732","0f0a528c-efac-485d-b3ee-1a3f2b640f2e","Międzynarodowy Instytut Mechanizmów i Maszyn Molekularnych Polskiej Akademii Nauk - IMol","2020-11-17","Polska Akademia Nauk","Instytucja naukowa","Nie","","","","","instytut naukowy PAN","387899800","7011013688","","","","71","www.imol.institute","grantoffice@imol.institute","+48 607 435 448","/IMol/imolpan","Polska","mazowieckie","ul. Marcina Flisa","6","02-247","Warszawa","Agnieszka Chacińska - Dyrektor instytutu PAN","24e5adc5-4033-4e99-a463-71a81c576ac2",,,,,"Międzynarodowy Instytut Mechanizmów i Maszyn Molekularnych Polskiej Akademii Nauk - IMol","2020-11-17",,,,,,,,,,,,,,,,,,,,,"Polska Akademia Nauk","2020-11-17","Działająca","2020-11-17","instytut naukowy PAN","2020-11-17","ul. Marcina Flisa 6, 02-247 Warszawa, woj. mazowieckie, Polska","2022-10-28"
"733","99dd4a93-4f06-4407-a369-747fd4bbac77","MIĘDZYNARODOWY INSTYTUT ONKOLOGII MOLEKULARNEJ","2015-10-01","","Instytucja naukowa","Nie","","","","","inna instytucja naukowa","362634106","7792434840","","","","","http://www.iimo.pl","poznan@iimo.pl","509970711","","Polska","wielkopolskie","Jakuba Krauthofera","23","60-203","Poznań","","",,,,,"MIĘDZYNARODOWY INSTYTUT ONKOLOGII MOLEKULARNEJ","2015-10-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2015-10-01","Działająca","2015-10-01","międzynarodowy instytut naukowy","2015-10-01","ul. Jakuba Krauthofera 23, 60-203 Poznań, woj. wielkopolskie, Polska","2015-10-01"
"734","99dd4a93-4f06-4407-a369-747fd4bbac77","MIĘDZYNARODOWY INSTYTUT ONKOLOGII MOLEKULARNEJ","2015-10-01","","Instytucja naukowa","Nie","","","","","inna instytucja naukowa","362634106","7792434840","","","","","http://www.iimo.pl","poznan@iimo.pl","509970711","","Polska","wielkopolskie","Jakuba Krauthofera","23","60-203","Poznań","","",,,,,"MIĘDZYNARODOWY INSTYTUT ONKOLOGII MOLEKULARNEJ","2015-10-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2015-10-01","Działająca","2015-10-01","inna instytucja naukowa","2015-10-04","ul. Jakuba Krauthofera 23, 60-203 Poznań, woj. wielkopolskie, Polska","2015-10-01"
"735","91d4e88b-bf82-4151-99d4-8e91de5ac284","Morski Instytut Rybacki - Państwowy Instytut Badawczy","1947-10-28","Minister Rolnictwa i Rozwoju Wsi","Instytucja naukowa","Tak","2011","","","","instytut badawczy","000144733","5860102441","","","","","https://mir.gdynia.pl","sekretariat@mir.gdynia.pl","587356232","/MIR-PIB/SkrytkaESP","Polska","pomorskie","Hugo Kołłątaja","1","81-332","Gdynia","Piotr Margoński - Dyrektor instytutu","c0557fa5-5eea-420c-b12c-deff0f1a4ed0",,,,,"Morski Instytut Rybacki - Państwowy Instytut Badawczy","1947-10-28",,,,,,,,,,,,,,,,,,,,,"Minister Rolnictwa i Rozwoju Wsi","1947-10-28","Działająca","1947-10-28","instytut badawczy","1947-10-28","ul. Hugo Kołłątaja 1, 81-332 Gdynia, woj. pomorskie, Polska","1947-10-28"
"736","91d4e88b-bf82-4151-99d4-8e91de5ac284","Morski Instytut Rybacki - Państwowy Instytut Badawczy","1947-10-28","Minister Rolnictwa i Rozwoju Wsi","Instytucja naukowa","Tak","2011","","","","instytut badawczy","000144733","5860102441","","","","","https://mir.gdynia.pl","sekretariat@mir.gdynia.pl","587356232","/MIR-PIB/SkrytkaESP","Polska","pomorskie","Hugo Kołłątaja","1","81-332","Gdynia","Piotr Margoński - Dyrektor instytutu","c0557fa5-5eea-420c-b12c-deff0f1a4ed0",,,,,"Morski Instytut Rybacki - Państwowy Instytut Badawczy","1947-10-28",,,,,,,,,,,,,,,,,,,,,"Minister Gospodarki Morskiej i Żeglugi Śródlądowej","2015-11-16","Działająca","1947-10-28","instytut badawczy","1947-10-28","ul. Hugo Kołłątaja 1, 81-332 Gdynia, woj. pomorskie, Polska","1947-10-28"
"737","91d4e88b-bf82-4151-99d4-8e91de5ac284","Morski Instytut Rybacki - Państwowy Instytut Badawczy","1947-10-28","Minister Rolnictwa i Rozwoju Wsi","Instytucja naukowa","Tak","2011","","","","instytut badawczy","000144733","5860102441","","","","","https://mir.gdynia.pl","sekretariat@mir.gdynia.pl","587356232","/MIR-PIB/SkrytkaESP","Polska","pomorskie","Hugo Kołłątaja","1","81-332","Gdynia","Piotr Margoński - Dyrektor instytutu","c0557fa5-5eea-420c-b12c-deff0f1a4ed0",,,,,"Morski Instytut Rybacki - Państwowy Instytut Badawczy","1947-10-28",,,,,,,,,,,,,,,,,,,,,"Minister Rolnictwa i Rozwoju Wsi","2020-11-02","Działająca","1947-10-28","instytut badawczy","1947-10-28","ul. Hugo Kołłątaja 1, 81-332 Gdynia, woj. pomorskie, Polska","1947-10-28"
"738","dd487c6f-a552-4f79-add1-2ad62d60def8","Muzeum Archeologiczne w Poznaniu","1857-07-01","","Instytucja naukowa","Nie","","","","","inna instytucja naukowa","000654977","7781027953","","","","","www.muzarp.poznan.pl","","48 61 852 64 30","","Polska","wielkopolskie","Wodna","27","61-781","Poznań","Marzena Szmyt - Dyrektor generalny","",,,,,"Muzeum Archeologiczne w Poznaniu","1857-07-01",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2022-04-29","Działająca","1857-07-01","inna instytucja naukowa","1857-07-01","ul. Wodna 27, 61-781 Poznań, woj. wielkopolskie, Polska","1857-07-01"
"739","7376b034-1ad5-422a-a3ce-b7412888cb37","Muzeum Górnośląskie w Bytomiu","1910-05-12","","Instytucja naukowa","Nie","","","","","inna instytucja naukowa","000278451","6260004392","","","","","http://www.muzeum.bytom.pl","sekretariat@muzeum.bytom.pl","+48 32 281 34 01","","Polska","śląskie","Jana III Sobieskiego","2","41-902","Bytom","Iwona Mohl - Dyrektor generalny","",,,,,"Muzeum Górnośląskie w Bytomiu","1910-05-12",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2022-04-29","Działająca","1910-05-12","inna instytucja naukowa","1910-05-12","pl. Jana III Sobieskiego 2, 41-902 Bytom, woj. śląskie, Polska","1910-05-12"
"740","11fb7b14-d357-4383-a3ea-734a7c3260b0","Muzeum Historii Fotografii im. Walerego Rzewuskiego w Krakowie","1986-12-31","","Instytucja naukowa","Nie","","","","","inna instytucja naukowa","001258462","6771207972","","","","","www.mufo.krakow.pl","sekretariat@mufo.krakow.pl","+48 12 395 70 42","","Polska","małopolskie","Józefitów","16","30-045","Kraków","Marek Świca - Dyrektor Muzeum","",,,,,"Muzeum Historii Fotografii im. Walerego Rzewuskiego w Krakowie","1986-12-31",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2022-04-29","Działająca","1986-12-31","inna instytucja naukowa","1986-12-31","ul. Józefitów 16, 30-045 Kraków, woj. małopolskie, Polska","1986-12-31"
"741","15d72db7-de64-4c7b-82ef-d952c13e2388","Muzeum Historyczne Miasta Krakowa","1899-05-31","","Instytucja naukowa","Nie","","","","","inna instytucja naukowa","382698540","6762562544","","","","","","","","","Polska","małopolskie","Główny","35","31-011","Kraków","","",,,,,"Muzeum Historyczne Miasta Krakowa","1899-05-31",,,,,,,,,,,,,,,,,,,,,"Minister Edukacji i Nauki (poprzednio MNiSW)","2022-04-29","Działająca","1899-05-31","inna instytucja naukowa","1899-05-31","rynek Rynek Główny 35, 31-011 Kraków, woj. małopolskie, Polska","1899-05-31"
